FID,LINKNO,DSLINKNO,USLINKNO1,USLINKNO2,DSNODEID,strmOrder,Length,Magnitude,DSContArea,strmDrop,Slope,StraightL,USContArea,WSNO,DOUTEND,DOUTSTART,DOUTMID
70,148,69,131,92,-1.000000000000000,3,1904.200000000000000,10,288885728.000000000000000,7.890000000000000,0.004145151043000,1534.900000000000100,287702176.000000000000000,148,83317.399999999994000,85221.600000000006000,84269.500000000000000
71,6,61,-1,-1,-1.000000000000000,1,5542.500000000000000,1,7308898.500000000000000,54.180000000000000,0.009775429980000,4260.899999999999600,366.300000000000010,6,61677.099999999999000,67219.300000000003000,64448.199999999997000
72,27,69,-1,-1,-1.000000000000000,1,6103.899999999999600,1,8147400.500000000000000,56.329999999999998,0.009228037931000,4835.000000000000000,1556.700000000000000,27,83317.399999999994000,89421.800000000003000,86369.600000000006000
73,53,77,-1,-1,-1.000000000000000,1,6713.100000000000400,1,18389088.000000000000000,44.859999999999999,0.006682102837000,4465.800000000000200,824.100000000000020,53,80858.699999999997000,87571.300000000003000,84215.000000000000000
74,29,61,-1,-1,-1.000000000000000,1,6939.399999999999600,1,8013617.500000000000000,61.420000000000002,0.008850872523000,5008.399999999999600,1282.000000000000000,29,61677.099999999999000,68616.100000000006000,65146.599999999999000
75,38,46,30,21,-1.000000000000000,3,2868.800000000000200,16,401458112.000000000000000,15.250000000000000,0.005316751990000,2318.400000000000100,398084896.000000000000000,38,56884.400000000001000,59753.199999999997000,58318.800000000003000
76,30,38,22,61,-1.000000000000000,3,1391.900000000000100,15,394083648.000000000000000,5.210000000000000,0.003740679434000,1226.099999999999900,390912960.000000000000000,30,59753.199999999997000,61144.900000000001000,60449.099999999999000
77,22,30,77,14,-1.000000000000000,3,9936.600000000000400,13,375448352.000000000000000,22.180000000000000,0.002231659887000,7065.500000000000000,358446432.000000000000000,22,61144.900000000001000,71081.100000000006000,66113.000000000000000
78,77,22,69,53,-1.000000000000000,3,9777.100000000000400,12,333836032.000000000000000,20.940000000000001,0.002141384905000,4417.500000000000000,317862368.000000000000000,77,71081.100000000006000,80858.699999999997000,75969.899999999994000
79,61,30,6,29,-1.000000000000000,2,532.299999999999950,2,15463442.000000000000000,5.360000000000000,0.010078393217000,455.300000000000010,15322974.000000000000000,61,61144.900000000001000,61677.099999999999000,61411.000000000000000
80,7,46,-1,-1,-1.000000000000000,1,14709.299999999999000,1,22109468.000000000000000,67.239999999999995,0.004570927441000,6712.500000000000000,824.100000000000020,7,56884.400000000001000,71594.800000000003000,64239.599999999999000
81,21,38,-1,-1,-1.000000000000000,1,4298.600000000000400,1,4000215.799999999800000,29.809999999999999,0.006933634068000,2989.000000000000000,91.599999999999994,21,59753.199999999997000,64051.699999999997000,61902.500000000000000
82,14,22,-1,-1,-1.000000000000000,1,11721.700000000001000,1,24609958.000000000000000,84.840000000000003,0.007237775966000,6689.199999999999800,27470.900000000001000,14,71081.100000000006000,82803.000000000000000,76942.000000000000000
