CatchId, Stage, Number of Cells, SurfaceArea (m2), BedArea (m2), Volume (m3), SLOPE, LENGTHKM, AREASQKM
90, 0.200000, 633, 57941.221128, 57944.520568, 10256.540094, 0.0017890910, 5105.100000, 4.324864
90, 0.500000, 809, 74051.128679, 74063.993530, 30114.936517, 0.0017890910, 5105.100000, 4.324864
90, 1.000000, 1098, 100504.543483, 100578.630824, 74026.030731, 0.0017890910, 5105.100000, 4.324864
90, 2.000000, 1667, 152587.354647, 153065.222412, 198413.298965, 0.0017890910, 5105.100000, 4.324864
90, 5.000000, 3454, 316159.915905, 319626.984277, 917333.970965, 0.0017890910, 5105.100000, 4.324864
90, 10.000000, 6599, 604036.591454, 614465.991609, 3232955.703248, 0.0017890910, 5105.100000, 4.324864
171, 0.100000, 254, 23249.920943, 23250.599907, 2300.689307, 0.0020825550, 2852.200000, 2.778496
171, 0.200000, 281, 25721.364080, 25722.397297, 4734.741992, 0.0020825550, 2852.200000, 2.778496
171, 0.500000, 412, 37712.471588, 37723.670597, 14043.273442, 0.0020825550, 2852.200000, 2.778496
171, 1.000000, 591, 54097.333975, 54162.096027, 36970.184302, 0.0020825550, 2852.200000, 2.778496
171, 2.000000, 986, 90253.923222, 90616.142272, 109277.847400, 0.0020825550, 2852.200000, 2.778496
171, 5.000000, 2059, 188471.780094, 190266.884371, 538513.234732, 0.0020825550, 2852.200000, 2.778496
171, 10.000000, 4052, 370899.917555, 375827.825917, 1936875.580389, 0.0020825550, 2852.200000, 2.778496
82, 0.100000, 83, 7596.550527, 7597.466252, 662.019434, 0.0075069170, 741.900000, 0.354744
82, 0.200000, 127, 11623.607569, 11624.949318, 1601.361526, 0.0075069170, 741.900000, 0.354744
82, 0.500000, 162, 14826.967939, 14829.868788, 5573.791273, 0.0075069170, 741.900000, 0.354744
82, 1.000000, 259, 23704.805837, 23724.536527, 15596.301408, 0.0075069170, 741.900000, 0.354744
82, 2.000000, 345, 31575.923775, 31662.101263, 42804.901246, 0.0075069170, 741.900000, 0.354744
82, 5.000000, 682, 62419.612021, 62850.429323, 180618.193452, 0.0075069170, 741.900000, 0.354744
82, 10.000000, 2259, 206754.266353, 207563.271636, 746546.572425, 0.0075069170, 741.900000, 0.354744
67, 0.100000, 1242, 113696.235968, 113709.408067, 9425.916467, 0.0042264440, 9048.600000, 17.548664
67, 0.200000, 1669, 152785.578565, 152802.603115, 22964.560535, 0.0042264440, 9048.600000, 17.548664
67, 0.500000, 2510, 229773.475736, 229830.969293, 80491.885036, 0.0042264440, 9048.600000, 17.548664
67, 1.000000, 3617, 331110.917023, 331340.320851, 222078.562412, 0.0042264440, 9048.600000, 17.548664
67, 2.000000, 5585, 511266.857682, 512121.653091, 644610.264740, 0.0042264440, 9048.600000, 17.548664
67, 5.000000, 10678, 977494.732360, 982102.247346, 2900732.410327, 0.0042264440, 9048.600000, 17.548664
67, 10.000000, 20635, 1888992.904387, 1904225.284611, 10102037.806990, 0.0042264440, 9048.600000, 17.548664
52, 0.100000, 892, 81671.964527, 81689.189618, 7507.405313, 0.0097429760, 8133.600000, 11.849375
52, 0.200000, 1057, 96779.766091, 96798.744533, 16443.754144, 0.0097429760, 8133.600000, 11.849375
52, 0.500000, 1674, 153272.216815, 153324.214005, 54229.715312, 0.0097429760, 8133.600000, 11.849375
52, 1.000000, 2506, 229450.153360, 229658.622988, 150361.235596, 0.0097429760, 8133.600000, 11.849375
52, 2.000000, 3801, 348021.998260, 348805.230271, 441432.326844, 0.0097429760, 8133.600000, 11.849375
52, 5.000000, 7273, 665925.942891, 670405.640700, 1968533.308781, 0.0097429760, 8133.600000, 11.849375
52, 10.000000, 14489, 1326642.206787, 1340931.068771, 6892329.667614, 0.0097429760, 8133.600000, 11.849375
57, 0.100000, 2020, 184857.639899, 184862.878019, 15438.219216, 0.0029228270, 15490.900000, 27.018236
57, 0.200000, 2545, 232901.454280, 232911.714522, 36343.782127, 0.0029228270, 15490.900000, 27.018236
57, 0.500000, 3946, 361114.114739, 361183.953307, 125967.349376, 0.0029228270, 15490.900000, 27.018236
57, 1.000000, 5951, 544601.691894, 544956.840142, 353755.169810, 0.0029228270, 15490.900000, 27.018236
57, 2.000000, 9049, 828113.345916, 829653.938407, 1041471.789972, 0.0029228270, 15490.900000, 27.018236
57, 5.000000, 21361, 1954861.451594, 1963642.896898, 5043151.799611, 0.0029228270, 15490.900000, 27.018236
57, 10.000000, 60876, 5571202.505494, 5592952.100173, 23215353.063095, 0.0029228270, 15490.900000, 27.018236
33, 0.100000, 445, 40724.186320, 40730.270246, 3521.581570, 0.0119253590, 3790.800000, 4.524818
33, 0.200000, 609, 55732.707894, 55740.052736, 8407.286325, 0.0119253590, 3790.800000, 4.524818
33, 0.500000, 1085, 99293.341347, 99316.757125, 31579.183573, 0.0119253590, 3790.800000, 4.524818
33, 1.000000, 1730, 158319.690424, 158405.939579, 96189.674254, 0.0119253590, 3790.800000, 4.524818
33, 2.000000, 2916, 266854.558308, 267173.691245, 308582.355991, 0.0119253590, 3790.800000, 4.524818
33, 5.000000, 7939, 726519.852444, 728088.670794, 1747367.148955, 0.0119253590, 3790.800000, 4.524818
33, 10.000000, 19283, 1764599.055251, 1767754.177934, 7976443.574096, 0.0119253590, 3790.800000, 4.524818
26, 0.100000, 614, 56197.167254, 56204.125065, 4775.984194, 0.0074794210, 4883.500000, 9.774500
26, 0.200000, 905, 82830.637474, 82839.859907, 11654.065235, 0.0074794210, 4883.500000, 9.774500
26, 0.500000, 1787, 163555.440738, 163586.615593, 48364.088632, 0.0074794210, 4883.500000, 9.774500
26, 1.000000, 3385, 309813.266069, 309934.008584, 167195.826133, 0.0074794210, 4883.500000, 9.774500
26, 2.000000, 6875, 629237.759804, 629605.830042, 634295.348107, 0.0074794210, 4883.500000, 9.774500
26, 5.000000, 25173, 2303975.335929, 2305480.748326, 4719286.164786, 0.0074794210, 4883.500000, 9.774500
