	49	0	161	57	17	0	2	-1	2
	0	162	1408	49	-1	-1	1	-1	1
	25	1409	2028	41	-1	-1	1	-1	1
	17	2029	2956	49	-1	-1	1	-1	1
	9	2957	3401	57	-1	-1	1	-1	1
	1	3402	3889	41	-1	-1	1	-1	1
	179	3890	5405	-1	98	44	4	-1	42
	90	5406	5898	98	171	82	4	-1	40
	171	5899	6149	90	163	84	4	-1	36
	82	6150	6218	90	57	33	2	-1	4
	67	6219	7020	74	36	28	2	-1	2
	52	7021	7735	74	-1	-1	1	-1	1
	57	7736	9102	82	49	9	2	-1	3
	33	9103	9446	82	-1	-1	1	-1	1
	26	9447	9889	98	-1	-1	1	-1	1
	98	9890	9928	179	90	26	4	-1	41
	163	9929	10300	171	155	35	4	-1	35
	155	10301	10446	163	147	42	4	-1	34
	147	10447	10724	155	139	99	4	-1	33
	139	10725	10878	147	164	108	4	-1	29
	164	10879	11566	139	156	132	4	-1	27
	123	11567	11911	131	140	66	3	-1	8
	140	11912	12102	123	100	115	3	-1	7
	68	12103	14395	115	-1	-1	1	-1	1
	124	14396	14904	107	116	60	2	-1	3
	99	14905	15206	147	83	3	2	-1	4
	91	15207	15472	115	74	19	2	-1	4
	83	15473	16433	99	41	18	2	-1	3
	12	16434	17215	107	-1	-1	1	-1	1
	84	17216	18046	171	-1	-1	1	-1	1
	74	18047	19347	91	67	52	2	-1	3
	18	19348	20322	83	-1	-1	1	-1	1
	44	20323	21324	179	-1	-1	1	-1	1
	108	21325	21901	139	45	37	2	-1	2
	41	21902	22695	83	25	1	2	-1	2
	59	22696	23095	75	43	11	2	-1	3
	51	23096	23124	75	58	2	2	-1	2
	43	23125	23392	59	10	34	2	-1	2
	28	23393	24088	67	-1	-1	1	-1	1
	36	24089	24471	67	-1	-1	1	-1	1
	42	24472	25304	155	-1	-1	1	-1	1
	2	25305	25944	51	-1	-1	1	-1	1
	10	25945	26344	43	-1	-1	1	-1	1
	34	26345	26619	43	-1	-1	1	-1	1
	58	26620	26949	51	-1	-1	1	-1	1
	50	26950	27518	131	-1	-1	1	-1	1
	66	27519	28008	123	-1	-1	1	-1	1
	35	28009	28317	163	-1	-1	1	-1	1
	19	28318	28673	91	-1	-1	1	-1	1
	11	28674	29214	59	-1	-1	1	-1	1
	3	29215	29642	99	-1	-1	1	-1	1
	156	29643	29752	164	46	5	3	-1	18
	46	29753	30838	156	38	7	3	-1	17
	131	30839	31331	148	123	50	3	-1	9
	115	31332	31677	140	91	68	2	-1	5
	132	31678	31898	164	75	107	3	-1	9
	107	31899	32651	132	124	12	2	-1	4
	116	32652	33016	124	4	20	2	-1	2
	4	33017	33583	116	-1	-1	1	-1	1
	75	33584	34866	132	59	51	3	-1	5
	100	34867	35414	140	13	76	2	-1	2
	37	35415	35908	108	-1	-1	1	-1	1
	5	35909	36846	156	-1	-1	1	-1	1
	13	36847	37372	100	-1	-1	1	-1	1
	45	37373	37778	108	-1	-1	1	-1	1
	92	37779	38478	148	-1	-1	1	-1	1
	76	38479	39224	100	-1	-1	1	-1	1
	60	39225	39557	124	-1	-1	1	-1	1
	20	39558	39859	116	-1	-1	1	-1	1
	69	39860	40063	77	148	27	3	-1	11
	148	40064	40231	69	131	92	3	-1	10
	6	40232	40741	61	-1	-1	1	-1	1
	27	40742	41273	69	-1	-1	1	-1	1
	53	41274	41887	77	-1	-1	1	-1	1
	29	41888	42520	61	-1	-1	1	-1	1
	38	42521	42783	46	30	21	3	-1	16
	30	42784	42915	38	22	61	3	-1	15
	22	42916	43821	30	77	14	3	-1	13
	77	43822	44672	22	69	53	3	-1	12
	61	44673	44722	30	6	29	2	-1	2
	7	44723	46036	46	-1	-1	1	-1	1
	21	46037	46408	38	-1	-1	1	-1	1
	14	46409	47470	22	-1	-1	1	-1	1
