id,flow,depth,InunArea_m2,CatchArea_m2,InunRatio
3,4000.000000,7.551154,493914.187500,2849407.250000,0.173339
10,4000.000000,5.177062,3549087.000000,21044678.000000,0.168645
1,4000.000000,6.138200,3851925.500000,19343408.000000,0.199134
2,4000.000000,5.491062,1867837.000000,3376902.000000,0.553121
11,4000.000000,8.602192,4392302.000000,27002294.000000,0.162664
